iter	Passed	Remaining
398	217922	328249
399	218416	327625
400	218958	327072
401	219383	326346
402	219773	325570
403	220178	324818
404	220673	324198
405	221205	323635
406	221759	323104
407	222281	322525
408	222744	321863
409	223254	321268
410	223786	320706
411	224317	320142
412	224756	319448
413	225343	318964
414	225894	318430
415	226439	317886
416	227029	317405
417	227533	316805
418	228024	316187
419	228497	315544
420	229063	315030
421	229582	314451
422	230124	313905
423	230663	313353
424	231194	312791
425	231732	312240
426	232268	311685
427	232811	311140
428	233266	310478
429	233797	309917
430	234364	309404
431	234872	308813
432	235473	308344
433	236080	307883
434	236634	307353
435	237204	306842
436	237760	306314
437	238327	305799
438	238881	305267
439	239478	304790
440	240014	304236
441	240537	303665
442	241050	303081
443	241590	302532
444	242068	301905
445	242560	301296
446	243100	300748
447	243705	300280
448	244182	299653
449	244654	299021
450	245132	298398
451	245635	297805
452	246222	297314
453	246810	296824
454	247318	296238
455	247887	295725
456	248454	295210
457	248966	294628
458	249454	294019
459	249973	293447
460	250486	292868
461	250985	292273
462	251542	291745
463	251974	291074
464	252463	290468
465	252958	289870
466	253525	289355
467	254113	288863
468	254663	288328
469	255156	287729
470	255680	287165
471	256195	286591
472	256704	286010
473	257298	285525
474	257855	284998
475	258414	284473
476	259062	284045
477	259604	283501
478	260154	282965
479	260721	282447
480	261277	281918
481	261826	281381
482	262437	280911
483	262942	280327
484	263404	279697
485	263980	279189
486	264625	278753
487	265174	278215
488	265695	277648
489	266229	277095
490	266951	276738
491	267549	276249
492	268078	275690
493	268589	275113
494	269188	274626
495	269712	274063
496	270305	273568
497	270891	273067
498	271505	272593
499	272069	272069
500	272577	271488
501	273124	270948
502	273648	270384
503	274137	269785
504	274675	269236
505	275213	268686
506	275684	268072
507	276300	267597
508	276840	267050
509	277405	266526
510	277977	266009
511	278587	265528
512	279078	264934
513	279597	264366
514	280084	263769
515	280608	263206
516	281131	262643
517	281698	262120
518	282157	261498
519	282690	260945
520	283280	260443
521	283762	259843
522	284306	259300
523	284842	258749
524	285462	258275
525	285966	257695
526	286554	257191
527	287099	256649
528	287642	256105
529	288150	255529
530	288682	254975
531	289172	254384
532	289733	253856
533	290309	253341
534	290815	252764
535	291451	252300
536	292129	251873
537	292916	251537
538	293792	251276
539	294437	250816
540	295058	250335
541	295625	249809
542	296221	249306
543	296816	248802
544	297401	248289
545	297976	247767
546	298487	247193
547	299001	246621
548	299543	246072
549	300089	245527
550	300623	244973
551	301183	244438
552	301784	243937
553	302294	243363
554	302913	242876
555	303420	242299
556	303935	241729
557	304493	241193
558	305039	240648
559	305612	240123
560	306241	239643
