iter	Logloss
0	0.6703123727
1	0.6504683032
2	0.6353315429
3	0.6220987951
4	0.6096273757
5	0.5986931411
6	0.5890323314
7	0.580368213
8	0.5723403466
9	0.5655313465
10	0.5593074582
11	0.5523688588
12	0.5455164397
13	0.5394701207
14	0.5357035901
15	0.5323712596
16	0.5281129
17	0.524230128
18	0.5217337255
19	0.5185956224
20	0.5165456887
21	0.5143399868
22	0.5119756819
23	0.5097467395
24	0.5085100371
25	0.5072457579
26	0.5057360847
27	0.5040248858
28	0.5029250381
29	0.5017410254
30	0.5007594255
31	0.4993071378
32	0.4981404471
33	0.4970299028
34	0.4961698933
35	0.4952981551
36	0.4942803468
37	0.4935402511
38	0.4923225848
39	0.4914058569
40	0.4904199029
41	0.4897710975
42	0.4889365505
43	0.4881492883
44	0.4877247506
45	0.487073721
46	0.4865371064
47	0.4860786739
48	0.4852976301
49	0.4845817955
50	0.4840056235
51	0.4835906494
52	0.4831582107
53	0.4823744236
54	0.4818906884
55	0.4815295679
56	0.4811054956
57	0.4805816202
58	0.4802091114
59	0.4797753266
60	0.4790457486
61	0.4785537174
62	0.4781702151
63	0.477519491
64	0.477014839
65	0.4764791835
66	0.4759482784
67	0.4752770541
68	0.4749507611
69	0.4746489945
70	0.4744349275
71	0.474126131
72	0.473952064
73	0.4735361827
74	0.4729837116
75	0.4728050679
76	0.4724331526
77	0.4722200553
78	0.4718286528
79	0.4716083879
80	0.4712742516
81	0.4708805169
82	0.4706834859
83	0.4705317665
84	0.4703741041
85	0.4701149584
86	0.4696964618
87	0.4694620014
88	0.4690952721
89	0.4688599938
90	0.4687409924
91	0.4684619788
92	0.4682721255
93	0.4678886659
94	0.4677842225
95	0.4673747596
96	0.467063879
97	0.4669116459
98	0.466653534
99	0.4665251656
100	0.4660894581
101	0.4658902798
102	0.4657334716
103	0.4653984726
104	0.4652148007
105	0.4648333789
106	0.4646548287
107	0.4643150541
108	0.4639514684
109	0.463619511
110	0.4632812701
111	0.4631250453
112	0.462786542
113	0.462672489
114	0.4626205345
115	0.4623068244
116	0.4620811865
117	0.4619088121
118	0.4616864091
119	0.4613718092
120	0.4611843964
121	0.4610190389
122	0.4608561254
123	0.4607576273
124	0.4606464139
125	0.4605440286
126	0.4604540488
127	0.4603034156
128	0.4602158998
129	0.4599669244
130	0.4598166636
131	0.4596733588
132	0.4595936087
133	0.4595514983
134	0.4594558113
135	0.4592910401
136	0.4591925975
137	0.4591206812
138	0.4590642406
139	0.4588930701
140	0.4588826014
141	0.4588179449
142	0.4587678054
143	0.4587140337
144	0.458551998
145	0.4584298411
146	0.4583408993
147	0.4582634507
148	0.4581997024
149	0.4581325944
150	0.4579243686
151	0.4575872327
152	0.4575192791
153	0.4573691808
154	0.4572141651
155	0.4570151796
156	0.4569076732
157	0.4569044725
158	0.4567324716
159	0.4565780384
160	0.4565016606
161	0.4563842634
162	0.4561908644
163	0.4561790663
164	0.4561534214
165	0.4560961661
166	0.4559497856
167	0.4558310383
168	0.4557837939
169	0.4556132282
170	0.4553534436
171	0.455241503
172	0.455188482
173	0.4551719611
174	0.4551405146
175	0.4549553809
176	0.4548032126
177	0.45459308
178	0.4545537895
179	0.454493486
180	0.4544390964
181	0.454432128
182	0.4543414664
183	0.4542578116
184	0.4542067554
185	0.4539908995
186	0.4539449674
